,Brand_Family_Desc,region_desc,Gross_Sales,Advertisement_and_discount_cost,Transfer_Price_COGS,Distribution_cost_supply_chain,Distribution_cose_Sales_-_Region
2410,Ballantine'S,Jharkhand & Orissa Region,,23400.0,,,15118.0
2411,Ballantine'S,Karnataka,,2750.0,,,4179.24
2412,Ballantine'S,Maharashtra,,23831.0,,,855.0
2413,Ballantine'S,Jharkhand & Orissa Region,,-19067.0,,,10560.94
2414,Ballantine'S,Punjab Region,,0.0,,,33334.0
2415,Ballantine'S,Punjab Region,,0.0,,,33334.0
2416,Ballantine'S,Punjab Region,,0.0,,,33334.0
2417,Ballantine'S,Rajasthan,,0.0,,,97737.19
2418,Ballantine'S,Telangana Region,,0.0,,,12.57
2419,Ballantine'S,Telangana Region,,0.0,,,14.22
2420,Ballantine'S,Telangana Region,,0.0,,,339.3
2421,Ballantine'S,Rajasthan,,0.0,,,23283.04
2422,Ballantine'S,Telangana Region,,0.0,,,15.24
2423,Ballantine'S,Telangana Region,,10290.0,,,285.94
2424,Ballantine'S,Telangana Region,,-5045.0,,,7653.86
2425,Ballantine'S,Telangana Region,,0.0,,,63.23
2426,Ballantine'S,,0.0,0.0,0.0,,833.0
2427,Ballantine'S,,268970.5,5487.0,140675.0,8335.5,26665.48
2428,Ballantine'S,,601340.5,10974.0,322350.0,15649.995,50832.82
2429,Ballantine'S,,0.0,-1.0,0.0,,833.0
2430,Ballantine'S,,0.0,0.0,0.0,,2069.0
2431,Ballantine'S,,0.0,0.0,0.0,,833.14
2432,Ballantine'S,,0.0,,0.0,,
2433,Ballantine'S,Andhra Pradesh Region,0.0,503372.0,0.0,,87701.36
2434,Ballantine'S,Andhra Pradesh Region,0.0,560161.0,0.0,,29572.21
2435,Ballantine'S,Andhra Pradesh Region,0.0,122511.0,0.0,,187225.91
2436,Ballantine'S,Andhra Pradesh Region,0.0,,0.0,,
2437,Ballantine'S,HP & Uttarakhand Region,262500.0,25000.0,106100.0,7824.9975,0.0
2438,Ballantine'S,HP & Uttarakhand Region,367500.0,70000.0,148540.0,10954.9965,0.0
2439,Ballantine'S,HP & Uttarakhand Region,218400.0,40000.0,80478.2,6668.4,0.0
2440,Ballantine'S,HP & Uttarakhand Region,218400.0,41050.0,80478.2,6668.4,0.0
2441,Ballantine'S,HP & Uttarakhand Region,0.0,9000.0,0.0,,0.0
2442,Ballantine'S,Uttar Pradesh Region,45091000.0,15698780.18,15108257.25,2154893.46,7727.27
2443,Ballantine'S,Uttar Pradesh Region,0.0,86750.0,0.0,,21893.94
2444,Ballantine'S,Uttar Pradesh Region,25110000.0,-9874543.98999999,9718270.0,1133059.638,21167.0
2445,Ballantine'S,Uttar Pradesh Region,24000000.0,9236853.1,9156420.0,1079849.655,21167.0
2446,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2447,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2448,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2449,Ballantine'S,West Bengal & Sikkim,0.0,0.0,0.0,,1273.92
2450,Ballantine'S,West Bengal & Sikkim,787500.0,,318300.0,23474.9925,
2451,Ballantine'S,West Bengal & Sikkim,0.0,8778.0,0.0,,0.0
2452,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2453,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2454,Ballantine'S,Telangana Region,0.0,20000.0,0.0,,1792.53
2455,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",4176416.9,1771029.0,1404369.19,199358.4864,4930.0
2456,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",1046500.0,442819.5,353305.875,49846.29,4596.0
2457,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",3194800.0,940100.0,1236608.0,143040.9543,8151.0
2458,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,,0.0,,
2459,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,,0.0,,
2460,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,0.0,0.0,,3005.0
2461,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",420000.0,120000.0,145446.8,13336.8,2990.0
2462,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,12800.0,0.0,,2950.0
2463,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,0.0,0.0,,2950.0
2464,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,0.0,0.0,,3781.0
2465,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,,0.0,,
2466,Ballantine'S,ASS ARP MEG TRI MZR,0.0,16800.0,0.0,,0.0
2467,Ballantine'S,ASS ARP MEG TRI MZR,0.0,3500.0,0.0,,2083.33
2468,Ballantine'S,ASS ARP MEG TRI MZR,983444.0,6000.0,451290.0,21909.993,2803.33
2469,Ballantine'S,ASS ARP MEG TRI MZR,0.0,,0.0,,
2470,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2471,Ballantine'S,HP & Uttarakhand Region,60000.0,6750.0,12604.0,3334.2,0.0
2472,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2473,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2474,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2475,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,0.0,0.0,,2950.0
2476,Ballantine'S,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",15450.0,4200.0,6255.0,312.9999,2973.66
2477,Ballantine'S,ASS ARP MEG TRI MZR,0.0,7000.0,0.0,,0.0
2478,Ballantine'S,ASS ARP MEG TRI MZR,0.0,4900.0,0.0,,2083.33
2479,Ballantine'S,ASS ARP MEG TRI MZR,0.0,3000.0,0.0,,1441.68
2480,Ballantine'S,HP & Uttarakhand Region,-6200.78,,-3263.66,-193.3836,
2481,Ballantine'S,HP & Uttarakhand Region,350000.0,45000.0,135450.0,15649.995,0.0
2482,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2483,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2484,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2485,Ballantine'S,HP & Uttarakhand Region,10500.0,1500.0,4244.0,312.9999,0.0
2486,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2487,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2488,Ballantine'S,HP & Uttarakhand Region,52740.0,12000.0,18809.98,1333.68,0.0
2489,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2490,Ballantine'S,HP & Uttarakhand Region,386250.0,120000.0,156375.0,7824.9975,0.0
2491,Ballantine'S,Uttar Pradesh Region,0.0,4063826.0,0.0,,0.0
2492,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2493,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2494,Ballantine'S,Uttar Pradesh Region,1050000.0,146936.16,363617.0,33342.0,7727.27
2495,Ballantine'S,Uttar Pradesh Region,0.0,0.0,0.0,,7727.27
2496,Ballantine'S,Uttar Pradesh Region,6982500.0,2669712.9,2822260.0,208144.9335,21164.0
2497,Ballantine'S,Uttar Pradesh Region,0.0,0.0,0.0,,15454.54
2498,Ballantine'S,Uttar Pradesh Region,0.0,39850.0,0.0,,15454.54
2499,Ballantine'S,Uttar Pradesh Region,1158750.0,187500.0,469125.0,23474.9925,42334.0
2500,Ballantine'S,West Bengal & Sikkim,0.0,0.0,0.0,,31717.65
2501,Ballantine'S,West Bengal & Sikkim,5015612.07,0.0,2717841.0,161041.86,29713.79
2502,Ballantine'S,West Bengal & Sikkim,14000000.0,2107183.6,5418000.0,625999.8,4858.0
2503,Ballantine'S,West Bengal & Sikkim,9800000.0,2703818.83,3792600.0,438199.86,5380.67
2504,Ballantine'S,HP & Uttarakhand Region,525000.0,75000.0,212200.0,15649.995,0.0
2505,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2506,Ballantine'S,HP & Uttarakhand Region,77250.0,,31275.0,1564.9995,
2507,Ballantine'S,HP & Uttarakhand Region,77250.0,22500.0,31275.0,1564.9995,0.0
2508,Ballantine'S,Uttar Pradesh Region,99150000.7,23975639.08,33298192.5,4734564.0,7727.27
2509,Ballantine'S,Uttar Pradesh Region,0.0,20673574.51,0.0,,21893.94
2510,Ballantine'S,Uttar Pradesh Region,42000000.6999999,16578599.8,16254000.0,1877999.4,21167.0
2511,Ballantine'S,Uttar Pradesh Region,1750000.0,4039.900000006,677250.0,78249.975,21167.0
2512,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2513,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2514,Ballantine'S,Uttar Pradesh Region,0.0,196120.42,0.0,,7727.27
2515,Ballantine'S,Uttar Pradesh Region,157500.0,-529310.43,63660.0,4694.9985,21164.0
2516,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2517,Ballantine'S,Uttar Pradesh Region,0.0,505950.0,0.0,,15454.54
2518,Ballantine'S,Uttar Pradesh Region,0.0,25850.0,0.0,,15454.54
2519,Ballantine'S,West Bengal & Sikkim,0.0,0.0,0.0,,35722.4
2520,Ballantine'S,West Bengal & Sikkim,0.0,0.0,0.0,,23145.39
2521,Ballantine'S,West Bengal & Sikkim,10500000.0,957810.6,4063500.0,469499.85,3890.0
2522,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2523,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2524,Ballantine'S,ASS ARP MEG TRI MZR,0.0,25500.0,0.0,,2083.33
2525,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2526,Ballantine'S,HP & Uttarakhand Region,1170000.0,148500.0,435246.0,53209.983,0.0
2527,Ballantine'S,HP & Uttarakhand Region,9240000.0,1399200.0,3575880.0,413159.868,0.0
2528,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2529,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2530,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2531,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2532,Ballantine'S,HP & Uttarakhand Region,0.0,,0.0,,
2533,Ballantine'S,Uttar Pradesh Region,88814333.1,32993763.62,29808609.6725,4241879.2686,21893.94
2534,Ballantine'S,Uttar Pradesh Region,16633000.0,10174250.0,6361635.0,747756.7611,0.0
2535,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2536,Ballantine'S,West Bengal & Sikkim,0.0,-65504.0,0.0,,0.0
2537,Ballantine'S,West Bengal & Sikkim,0.0,0.0,0.0,,1274.0
2538,Ballantine'S,West Bengal & Sikkim,2100000.0,,848800.0,62599.98,
2539,Ballantine'S,West Bengal & Sikkim,2100000.0,0.0,848800.0,62599.98,1188.98
2540,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2541,Ballantine'S,West Bengal & Sikkim,77250.0,,26905.4,1667.1,
